Source,Target,Weight,W,sign
15,83,0.12217012033368661,0.12217012033368661,1
15,3,0.13030778484679578,0.13030778484679578,1
15,12,0.13478772575802478,0.13478772575802478,1
15,50,0.1381963230510059,-0.1381963230510059,0
15,88,0.13827979720655909,0.13827979720655909,1
15,80,0.14017976016931805,0.14017976016931805,1
15,13,0.14133326805968977,0.14133326805968977,1
15,14,0.15373750005243378,0.15373750005243378,1
81,19,0.15462362321606488,-0.15462362321606488,0
81,25,0.15657861139842863,-0.15657861139842863,0
81,50,0.15803780587082922,-0.15803780587082922,0
76,74,0.15981123187796137,0.15981123187796137,1
76,24,0.16688849106190998,-0.16688849106190998,0
81,46,0.1677172037035197,-0.1677172037035197,0
76,80,0.16875923717589197,0.16875923717589197,1
15,81,0.1725380779227737,0.1725380779227737,1
76,68,0.17446307348661294,0.17446307348661294,1
76,4,0.17663259659238215,0.17663259659238215,1
81,4,0.17728519275626758,-0.17728519275626758,0
81,85,0.17781998615839764,-0.17781998615839764,0
81,45,0.18086285853477377,-0.18086285853477377,0
76,82,0.18457258193457432,0.18457258193457432,1
81,23,0.18657510302858377,-0.18657510302858377,0
76,50,0.18951664419257336,-0.18951664419257336,0
76,30,0.19359837486522474,-0.19359837486522474,0
81,20,0.19482905506772696,0.19482905506772696,1
76,47,0.19487422365970564,0.19487422365970564,1
81,35,0.19673489580760323,0.19673489580760323,1
76,31,0.1985131505912991,-0.1985131505912991,0
76,87,0.1990511866348693,-0.1990511866348693,0
76,7,0.20127369947819068,-0.20127369947819068,0
15,58,0.20797616449756187,0.20797616449756187,1
76,17,0.20848778242730032,0.20848778242730032,1
15,51,0.2089311080408543,0.2089311080408543,1
15,85,0.2161162510947316,-0.2161162510947316,0
33,30,0.21760489098740657,-0.21760489098740657,0
76,65,0.2201649052114137,-0.2201649052114137,0
33,69,0.2209552905095949,0.2209552905095949,1
13,39,0.222680321089273,-0.222680321089273,0
76,39,0.2231352603178614,-0.2231352603178614,0
24,33,0.22889298893503135,0.22889298893503135,1
76,37,0.22928957078705978,-0.22928957078705978,0
3,70,0.2307471629922441,0.2307471629922441,1
33,91,0.2309499419674415,-0.2309499419674415,0
24,22,0.231674610380099,-0.231674610380099,0
24,30,0.23189612815746755,-0.23189612815746755,0
13,73,0.23208193453959644,0.23208193453959644,1
7,4,0.23288333387316057,-0.23288333387316057,0
16,4,0.23397233425821154,0.23397233425821154,1
24,85,0.23405541859889797,-0.23405541859889797,0
24,44,0.236535445640805,0.236535445640805,1
13,0,0.23681117095171134,-0.23681117095171134,0
13,91,0.23683711457463094,0.23683711457463094,1
76,5,0.2375033173023219,0.2375033173023219,1
24,57,0.23829829112646914,-0.23829829112646914,0
27,6,0.23846500334366844,-0.23846500334366844,0
3,25,0.23864238390333253,0.23864238390333253,1
16,6,0.23938310156843653,0.23938310156843653,1
33,41,0.23938709144440593,-0.23938709144440593,0
7,1,0.23945160287248796,0.23945160287248796,1
24,42,0.2398509141608308,-0.2398509141608308,0
24,60,0.24000977135360135,-0.24000977135360135,0
33,28,0.2404236753534028,0.2404236753534028,1
25,60,0.24246689581778927,-0.24246689581778927,0
3,23,0.24279925926083137,-0.24279925926083137,0
87,72,0.24398987048961257,0.24398987048961257,1
88,24,0.24410034144930365,0.24410034144930365,1
25,88,0.24430382229931813,0.24430382229931813,1
38,43,0.24464500408614526,-0.24464500408614526,0
15,22,0.24627100612382297,0.24627100612382297,1
87,58,0.2463728756489382,-0.2463728756489382,0
87,30,0.2463842007382714,0.2463842007382714,1
3,43,0.246539183660042,-0.246539183660042,0
17,61,0.24670796234395068,0.24670796234395068,1
7,35,0.24683054711569113,-0.24683054711569113,0
13,70,0.24733924848278285,0.24733924848278285,1
87,45,0.24761948122798755,0.24761948122798755,1
17,12,0.24762946515018122,-0.24762946515018122,0
13,74,0.24848061772596367,0.24848061772596367,1
3,91,0.24943048062237622,0.24943048062237622,1
7,91,0.24960324934728878,0.24960324934728878,1
3,9,0.2502931970945936,0.2502931970945936,1
27,23,0.25048115274709,0.25048115274709,1
27,60,0.2508261534672981,-0.2508261534672981,0
3,73,0.2511366975294139,-0.2511366975294139,0
14,10,0.25151360120800387,0.25151360120800387,1
13,18,0.2515367178798344,-0.2515367178798344,0
76,48,0.2515910060149423,0.2515910060149423,1
17,3,0.25255964059944236,-0.25255964059944236,0
36,85,0.2529103797371409,-0.2529103797371409,0
8,41,0.2540823074534227,-0.2540823074534227,0
55,86,0.2552585003215748,-0.2552585003215748,0
38,31,0.25528973566147256,0.25528973566147256,1
12,2,0.2562160066089821,-0.2562160066089821,0
76,86,0.2564050118946713,0.2564050118946713,1
3,46,0.25663937982030466,-0.25663937982030466,0
52,35,0.25731232878918353,0.25731232878918353,1
14,80,0.25732130808478304,0.25732130808478304,1
76,46,0.25873920574346065,0.25873920574346065,1
12,48,0.2592040528748978,0.2592040528748978,1
3,86,0.2593766168232596,0.2593766168232596,1
13,42,0.2595431168044128,-0.2595431168044128,0
17,4,0.2604828201530295,-0.2604828201530295,0
87,51,0.2611051287337936,0.2611051287337936,1
52,87,0.2613089666926035,0.2613089666926035,1
88,45,0.26138640513978384,-0.26138640513978384,0
24,25,0.261588689073912,-0.261588689073912,0
27,72,0.26159437818990894,-0.26159437818990894,0
36,61,0.26162210919966034,0.26162210919966034,1
76,64,0.2622246297847169,-0.2622246297847169,0
43,33,0.2626903453580718,0.2626903453580718,1
17,66,0.2628096548296959,-0.2628096548296959,0
55,30,0.26313773598831236,-0.26313773598831236,0
76,75,0.26331297559225364,-0.26331297559225364,0
11,0,0.2637989134728728,0.2637989134728728,1
13,22,0.2653967559221947,-0.2653967559221947,0
7,15,0.2662184964339279,0.2662184964339279,1
36,24,0.26682939938845374,0.26682939938845374,1
27,1,0.2669647554062457,-0.2669647554062457,0
52,60,0.26698033018833417,-0.26698033018833417,0
27,47,0.26849708007547546,0.26849708007547546,1
76,69,0.2688180441876396,-0.2688180441876396,0
43,80,0.2692557197879689,-0.2692557197879689,0
11,40,0.26942187159397224,-0.26942187159397224,0
76,28,0.26943078259315884,-0.26943078259315884,0
20,53,0.2697335042461345,-0.2697335042461345,0
43,11,0.2697618837241204,-0.2697618837241204,0
