Source,Target,Weight,W,sign
1542,0,0.2820164831388071,0.2820164831388071,1
1542,1,0.07543070421289984,-0.07543070421289984,0
1542,2,0.07251472027771302,-0.07251472027771302,0
1542,3,0.016064455641930934,-0.016064455641930934,0
1542,4,0.037660429694025103,0.037660429694025103,1
1542,5,0.1351959292695224,0.1351959292695224,1
1542,6,0.0004424245807219312,-0.0004424245807219312,0
1542,7,0.09669440398588644,-0.09669440398588644,0
1542,8,0.09522547687038455,-0.09522547687038455,0
1542,9,0.036725164692046744,-0.036725164692046744,0
1542,10,0.1088078788958767,-0.1088078788958767,0
1542,11,0.21665740418739454,0.21665740418739454,1
1542,12,0.07925008190086588,-0.07925008190086588,0
1542,13,0.05117869382976502,-0.05117869382976502,0
1542,14,0.030952807948609405,0.030952807948609405,1
1542,15,0.8021986006831063,-0.8021986006831063,0
1542,16,0.17290682799814422,0.17290682799814422,1
1542,17,0.16499767647482003,0.16499767647482003,1
1542,18,0.07394995943795792,0.07394995943795792,1
1542,19,0.21569000155197043,0.21569000155197043,1
1542,20,0.13019091912974784,-0.13019091912974784,0
1542,21,0.019926020589437286,-0.019926020589437286,0
1542,22,0.19461930059268012,0.19461930059268012,1
1542,23,0.3479804979026254,0.3479804979026254,1
1542,24,0.18662690795087794,-0.18662690795087794,0
1542,25,0.11780263463571672,-0.11780263463571672,0
1542,26,0.026469477085797177,0.026469477085797177,1
1542,27,0.1558661379769136,0.1558661379769136,1
1542,28,0.1546825736739921,0.1546825736739921,1
1542,29,0.17086626350790948,0.17086626350790948,1
1542,30,0.029536477693262075,0.029536477693262075,1
1542,31,0.13739141275569217,-0.13739141275569217,0
1542,32,0.04937770410226998,0.04937770410226998,1
1542,33,0.032320783700720876,-0.032320783700720876,0
1542,34,0.06030679664886163,-0.06030679664886163,0
1542,35,0.07354153279618825,0.07354153279618825,1
1542,36,0.0989035351179128,-0.0989035351179128,0
1542,37,0.05587166622869129,0.05587166622869129,1
1542,38,0.05551641172943293,0.05551641172943293,1
1542,39,0.02388489789453698,0.02388489789453698,1
1542,40,0.12493532478840949,-0.12493532478840949,0
1542,41,0.15729808282831775,-0.15729808282831775,0
1542,42,0.08990705427328184,0.08990705427328184,1
1542,43,0.1953206744705823,-0.1953206744705823,0
1542,44,0.02171924451311138,-0.02171924451311138,0
1542,45,0.25840840890520045,0.25840840890520045,1
1542,46,0.07990622821676108,0.07990622821676108,1
1542,47,0.09492460216012016,-0.09492460216012016,0
1542,48,0.12689805650745484,-0.12689805650745484,0
1542,49,0.03299318949868586,0.03299318949868586,1
1542,50,0.04039116362891017,0.04039116362891017,1
1542,51,0.1934094919986537,-0.1934094919986537,0
1542,52,0.06488979226183916,0.06488979226183916,1
1542,53,0.02602581684864417,-0.02602581684864417,0
1542,54,0.09841578728797354,0.09841578728797354,1
1542,55,0.05754213302292038,0.05754213302292038,1
1542,56,0.01247654797913036,0.01247654797913036,1
1542,57,0.12793894240165612,-0.12793894240165612,0
1542,58,0.32909729184626324,0.32909729184626324,1
1542,59,0.046286310158784316,0.046286310158784316,1
1542,60,0.16062783084663074,-0.16062783084663074,0
1542,61,0.15257560637728418,-0.15257560637728418,0
1542,62,0.08278058200382532,0.08278058200382532,1
1542,63,0.08384776520546096,0.08384776520546096,1
1542,64,0.03649434165247888,0.03649434165247888,1
1542,65,0.008855130824338597,0.008855130824338597,1
1542,66,0.019628095830704247,-0.019628095830704247,0
1542,67,0.045106392440591524,-0.045106392440591524,0
1542,68,0.12183394241860038,-0.12183394241860038,0
1542,69,0.14190419235928467,-0.14190419235928467,0
1542,70,0.09791122797897125,0.09791122797897125,1
1542,71,0.0277377041714477,-0.0277377041714477,0
1542,72,0.00027305937565981345,-0.00027305937565981345,0
1542,73,0.0017555996819153736,0.0017555996819153736,1
1542,74,0.0654084136807864,0.0654084136807864,1
1542,75,0.09732498388863592,0.09732498388863592,1
1542,76,0.05940960967513194,-0.05940960967513194,0
1542,77,0.03280573884243363,-0.03280573884243363,0
1542,78,0.5453329713605277,-0.5453329713605277,0
1542,79,0.10584421641739854,0.10584421641739854,1
1542,80,0.17854253324060426,0.17854253324060426,1
1542,81,0.18957474932926238,-0.18957474932926238,0
1542,82,0.05748876756624096,0.05748876756624096,1
1542,83,0.04412501398567235,-0.04412501398567235,0
1542,84,0.021698190901251937,0.021698190901251937,1
1542,85,0.3397748839743938,0.3397748839743938,1
1542,86,0.1701687867454811,0.1701687867454811,1
1542,87,0.24317950126881435,0.24317950126881435,1
1542,88,0.24994361619459982,-0.24994361619459982,0
1542,89,0.001941025122136055,-0.001941025122136055,0
1542,90,0.06056763355505453,0.06056763355505453,1
1542,91,0.10312428786337302,-0.10312428786337302,0
1542,92,0.0802041688959794,-0.0802041688959794,0
1542,93,0.023988673055939158,0.023988673055939158,1
1542,94,0.21171852425140814,0.21171852425140814,1
1542,95,0.03605177567058845,0.03605177567058845,1
1542,96,0.011191056150251611,-0.011191056150251611,0
1542,97,0.1296030555629512,0.1296030555629512,1
1542,98,0.004162611523809033,-0.004162611523809033,0
